  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.410     Re =     2.429 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6102   0.00768   0.00295  -0.0075   0.9361   0.0703
  -3.000  -0.3692   0.00620   0.00157  -0.0027   0.7968   0.2103
  -2.000  -0.2471   0.00576   0.00119  -0.0014   0.7039   0.3100
  -1.000  -0.1239   0.00552   0.00098  -0.0006   0.6072   0.4110
   0.000  -0.0000   0.00543   0.00092  -0.0000   0.5099   0.5100
   2.000   0.2470   0.00576   0.00119   0.0014   0.3096   0.7048
   3.000   0.3692   0.00620   0.00157   0.0027   0.2101   0.7970
   4.000   0.4902   0.00688   0.00217   0.0047   0.1231   0.8762
   5.000   0.6102   0.00768   0.00295   0.0075   0.0703   0.9362
   6.000   0.7316   0.00864   0.00390   0.0107   0.0434   0.9746
   7.000   0.8713   0.00991   0.00519   0.0106   0.0287   0.9920
   8.000   1.0239   0.01150   0.00691   0.0089   0.0212   0.9977
  10.000   1.2273   0.01624   0.01233   0.0263   0.0146   1.0000
  11.000   1.2769   0.02124   0.01800   0.0403   0.0131   1.0000
  12.000   1.2573   0.03231   0.02986   0.0484   0.0122   1.0000
  13.000   1.1985   0.05491   0.05306   0.0357   0.0119   1.0000
  14.000   1.1143   0.08270   0.08111   0.0195   0.0117   1.0000
  15.000   1.0241   0.11168   0.11021   0.0035   0.0117   1.0000
